[Fecha 20170530T125417] Cliente [0.0.0.0][busqueda ][Abanero]
[Fecha 20170530T125434] Cliente [0.0.0.0][busqueda ][abanero]
[Fecha 20170530T131253] Cliente [0.0.0.0][ lectura ][2]
[Fecha 20170530T131322] Cliente [0.0.0.0][ lectura ][2]
[Fecha 20170530T142903] Cliente [127.0.0.1][ lectura ][3]
[Fecha 20170530T144942] Cliente [0.0.0.0][ lectura ][6]
[Fecha 20170530T145009] Cliente [0.0.0.0][ lectura ][8]
[Fecha 20170530T145028] Cliente [0.0.0.0][ lectura ][2]
[Fecha 20170530T145937] Cliente [127.0.0.1][ lectura ][8]
[Fecha 20170530T145948] Cliente [127.0.0.1][ lectura ][1]
[Fecha 20170530T151036] Cliente [127.0.0.1][ lectura ][1]
[Fecha 20170530T151050] Cliente [127.0.0.1][ lectura ][1]
[Fecha 20170530T151106] Cliente [127.0.0.1][ lectura ][6]
[Fecha 20170530T151113] Cliente [127.0.0.1][ lectura ][4]
[Fecha 20170530T152147] Cliente [127.0.0.1][ lectura ][1]
[Fecha 20170530T152411] Cliente [127.0.0.1][ lectura ][8]
[Fecha 20170530T152426] Cliente [127.0.0.1][ lectura ][4]
[Fecha 20170530T152433] Cliente [127.0.0.1][ lectura ][8]
[Fecha 20170530T225854] Cliente [0.0.0.0][ lectura ][1]
[Fecha 20170530T230315] Cliente [127.0.0.1][ lectura ][10]
[Fecha 20170530T230352] Cliente [127.0.0.1][ lectura ][10]
